ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.41,12.59,0.01,0.01
4.49,4.42,12.60,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.42,12.57,0.01,0.01
4.49,4.40,12.57,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.40,12.58,0.01,0.01
4.49,4.42,12.58,0.01,0.01
4.49,4.40,12.57,0.01,0.01
4.49,4.40,12.58,0.01,0.01
